is_number,year,title,revision,section,scope,key_requirements,reference
IS 12592 : 2002,2002,PRECAST CONCRETE MANHOLE COVER AND FRAME,First Revision,Cement and Concrete,,"with the proper placing of the unit or impair the strength | Designation Frame shall be not less than the value specified in the table | 5. The permanent set shall not exceed the requirement | Note 2 — For details of manufacture in regard to mixing, placing, compaction, curing and finishing, refer to 7 of the standard.",
IS 13356 : 1992,1992,PRECAST FERROCEMENT WATER TANKS,,Cement and Concrete,Requirements of precast ferrocement 4.2 The tensile stress in reinforcement under services water tanks of capacity 270 to 10 000 litres. condition shall not exceed 200 N/mm2.,"water tanks of capacity 270 to 10 000 litres. condition shall not exceed 200 N/mm2. | Note —The capacity of tank means the net capacity which is 4.3 The minimum cross-sectional area of main | Gross capacity of a tank shall be taken as the total storage shall not be less than 1.0 percent of the gross cross- | tanks are generally made in square, rectangular and less than 100 mm. | diameter exceeding 2.0 m, a shallow spherical dome may 4.5 The skeletal steel shall be spaced at not more than | be provided for the base or alternatively, suitable fillets 300 mm centre to centre in both directions. Laps in bars | may be provided at the junction of bottom slab and where, provided, shall be not less than 150 mm. The | calculated depending upon their capacities. For 4.6 The minimum wall thickness shall be 12 mm for | generally recommended. For rectangular tanks, length or semi-mechanized casting and 15 mm for tanks up to | the height to length and breadth ratio should generally tanks the wall thickness may be 20 mm to 40 mm | spacing not exceeding 1.5 m. 4.7 The minimum thickness of the lid/cover slab shall | in no case be less than 15 mm.",
IS 13990 : 1994,1994,PRECAST REINFORCED CONCRETE PLANKS AND JOISTS FOR ROOFING AND FLOORING,,Cement and Concrete,Requirements for precast reinforced 2.3 Tolerances — Casting tolerances on various concrete planks and joist used for construction of roofs dimensions of plank shall be as given below — and floors. The planks length upto 1.5 m long only are covered. Dimension Tolerance Length ± 5 mm,"Length ± 5 mm | 2. Shape, Dimensions and Tolerances Width ± 3 mm | Thickness ± 2 mm | Bow (deviation from intended ± 2 mm | Twist (distance of any corner 1 mm | 300 mm. its length from perpendicular distance between long | 2.1.2.2 Length— The length of the planks shall be edges by more than 3 mm. | limited to a maximum of 11.5 m. However, it is preferable 2.3.2 Flatness— The maximum deviation from a 1.5 m | to use lengths in multiple of 300 mm only, keeping in straight edge placed in any position on a nominal plane | view the requirements of modular co-ordination. surface shall not exceed 2 mm. | 30mm and partly 60mm thick. A 100 mm wide tapered | shall be kept 300 mm for all lengths of planks and the comprising live load, self weight and dead load of floor",
IS 14143 : 1994,1994,PREFABRICATED BRICK PANEL AND PARTIALLY PRECAST CONCRETE JOIST FOR FLOORING AND ROOFING,,Cement and Concrete,Requirements for prefabricated brick panel 2.2.1 Shape— Partially precast joist shall be rectangular and partially precast joist for flooring and roofing. in shape with steel stirrups kept projecting out which shall be tied with reinforcement along the joist to achieve,"2.1.1 Length— Length of panel shall not exceed 1.1 m leaving an adequate gap between them. The minimum | for bricks having strength less than 40 N/mm2. For bricks recommended width is 13 cm. | having strength more than 40 N/mm2 conforming to IS 2.2.3 Depth— For clear span of joist up to 4.2 m depth | 2180 : 1988* the length of panel shall not exceed 1.2 m. shall be 100 mm for both conventional and modular size | From economic point of view, the minimum recommended bricks, Accordingly overall depth of joist with in-situ | length of panel is 0.9 m. concrete of 35 mm shall be 210 mm for conventional | 2.1.2 Width— Width of the panel shall be 53 cm for bricks and 225 mm for modular bricks. | panels made of conventional size (230 mm × 110 mm × 2.3 Thickness of Joints | 75mm) bricks and 45 cm for panels made of modular size | (190 mm x 90 mm x 90 mm) bricks. 2.3.1 Longitudinal Joints— Thickness of longitudinal | joints shall be 40 mm to accommodate one 6 mm | to thickness of a brick, that is, 75 mm for conventional",
IS 14201 : 1994,1994,PRECAST REINFORCED CONCRETE CHANNEL UNITS FOR CONSTRUCTION OF FLOORS AND ROOFS,,Cement and Concrete,Requirements for precast reinforced 2.3 Tolerances on Dimensions concrete channel units having a length of up to 4.5 m used for construction of floors and roofs. 2.3.1 Dimension Tolerance,Length ± 5 mm | 2.1 Shape Width ± 3 mm | 2.1.1 The precast units shall be channel (inverted Bow (deviation from intended ± 3 mm | grooved at ends to provide shear key action transfer of Twist (distance of any corner ± 3 mm | 2.2.1 Length— The maximum length of the unit shall | be restricted to 4.5 m from stiffness considerations. 2.3.2 Flatness— The maximum deviation from a 1.5 m | 2.2.2 Width— The nominal width of channel unit shall surface shall not exceed 2 mm. | be 300 mm or 600 mm. | kept either 130 mm or 200 mm. | 2.2.4 Thickness of flange— The minimum thickness with IS 14215:1994.* | of flange shall be 30 mm for 300 mm wide channel units | and 35 mm for 600 mm wide channels.,
IS 14241 : 1995,1995,FOR ROOFING,,Cement and Concrete,"Requirements for prefabricated reinforced 2.2 Dimensions concrete L-panels used for making roofs for buildings. This standard also covers the requirements for 2.2.1 Length— The maximum span of L-panels shall prefabricated reinforced concrete channel units which be restricted to 4 m. Lower lengths may be preferred, are to be used along with L-panels in the roof wherever possible, for easy handling. A minimum construction. bearing on the gable walls shall be kept 60 mm on either side of the L-panels.","This standard also covers the requirements for 2.2.1 Length— The maximum span of L-panels shall | are to be used along with L-panels in the roof wherever possible, for easy handling. A minimum | construction. bearing on the gable walls shall be kept 60 mm on either | depth and width as the rib of L-section at the two ends 30 to 40 mm depending upon the size of units and | width of L-panel shall be kept lesser than the overall 30 mm for overall width up to and including 700 mm and | width of L-panel to provide an overlapping of 40 mm for widths up to 900 mm. | 80-150 mm depending upon climatic conditions | of channel shape shall also be produced in required depth and width of rib shall be not less than those given",
IS 459 : 1992,1992,CORRUGATED AND SEMI-CORRUGATED ASBESTOS CEMENT SHEETS,Third Revision,Cement and Concrete,"Covers corrugated and semi-corrigutated 3.2 Impermeability test (optional) — The specimens asbestos cement sheets, designed to provide structural shall not show during 24 hours of test any formation of weather exposed surfaces of roofs and building walls of drops of water except traces of moisutre on the lower industrial, residential, agricultural commercial and surface. institutional types of buildings and for decorative and other purposes. 3.3 Frost cracking test (optional) — Shall not show any cracking, surface alteration or delamination.","industrial, residential, agricultural commercial and surface. | corrugated sheets shall be not less than 5 N/mm width | Note — Corrugated sheets of overall width 1086 mm and effective width 1016 mm with tolerances and other parameters same",
IS 1592 : 2003,2003,ASBESTOS CEMENT PRESSURE PIPES,Fourth Revision,Cement and Concrete,"Requirements relating to plain ended TABLE 2 PRESSURE RELATIOSHIP asbestos cement pipes and joints intended for use under pressure; it defines certain conditions of manufacture, BP BP Sl.No Nominal Diameters classification, characteristics and acceptance tests TP WP applicable to these roducts. (1) (2) (3) (4) Note – Asbestos cement building pipes and pipe fittings, gutters i) From 50 to 100 2 4 and gutter fittings and roofing fittings are covered by IS 1626. Asbestos cement pipes and fittings for sewerage and drainage ii) From 125 to 200 1.75 3.5 are covered by IS 6908 'Specification for asbestos cement pipes and fittings for swerage and drainage (first revision). iii) From 250 to 1 000 1.5 3","2. Pipes Note – Pipes of nominal diameter above 1 000 mm and up to | 2.1.1 Pipes of Nominal Diameter Up to 1 000 mm – | according to the works hydraulic test pressure give in Pipes of nominal diameter exceeding 1 000 mm are not | Pressure, TP (MPa) | 3.6 MPa respectively may also be manufactured. In such | 2. For pipes of nominal diameter from 600 mm to 1 000 | mm, the procedure given in 3.2.2 may also be used. Table 3. | TABLE 3 NOMINAL DIAMETER Nominal Thickness (mm) Tolerance (mm) | 300 900 2 For pipes of 50 and 60 mm diameter, the above tolerances | Note – The pipes of nominal diameter above 1 000 mm – 5 mm. | should be not less than that obtained by application of the | The thickness of wall and external diameters of asbestos not be less than the nominal thickness and not more than",
IS 1626 : 1984,1984,"ASBESTOS CEMENT BUILDING PIPES AND PIPE FITTINGS, GUTTERS AND GUTER FITTINGS AND ROOF FITTINGS",Second Revision,Cement and Concrete,"Requirements of asbestos cement roofing 2. Shapes, Dimensions and Tolerances fittings, to be used in conjunction with corrugated and semi-corugated asbestos cement sheets conforming to 2.1 Shapes— The shapes of various fittings shall be as IS 459:1992* detailed in Table 1 read with appropriate figures as given 1.1 The following roofing fittings are covered in this in the standard. standard. 2.2 Dimensions—Shall be declared by the manufacture a) Ridges— 2.3 Tolerances 1) Serrated adjustable ridges, 2) Plain wing adjustable ridges, 2.3.1 Length ± 10 mm 3) One piece plain angular ridges, 2.3.2 Thickness + free -1.0 mm 4) Unserrated adjustable ridges for hips, 5) Close fitting adjustable ridges, and 3. Physical Requirement 6) Northlight adjustable ridges. b) Eaves filler pieces 3.1 All the fin","2) Plain wing adjustable ridges, 2.3.1 Length ± 10 mm | 3) One piece plain angular ridges, 2.3.2 Thickness + free -1.0 mm | f) Rooflights, does not impair the performance of the fittings.",
IS 2096 : 1992,1992,ASBESTOS CEMENT FLAT SHEETS,First Revision,Cement and Concrete,"Requirements regarding, composition, 3.3.2 On length and width — Shall not vary from the dimension and tests of asbestos cement flat sheets (semi- nomoinal dimensions for length and width by more than compressed and fully compressed). These sheets are ± 5 mm. different from autoclaved silica asbestos cement flat sheets which are covered in IS 13000:1990.* 3.3.3 Straightness of edges — Shall be not more than 2 mm/m for the relevant dimension (length or width)","compressed and fully compressed). These sheets are ± 5 mm. | sheets which are covered in IS 13000:1990.* 3.3.3 Straightness of edges — Shall be not more than | 2 mm/m for the relevant dimension (length or width) | 3.3.4 Squareness of edges — Shall be not more than | 3. Dimensional and tolerances 3 mm/m. | 3.1 Thickness— shall be 3, 4, 5, 6, 8, 10, 12 and 15 mm. 4. Tests | (a) From 3 mm to 5 mm ±0.5 mm squareness of edges, refer to 8 of the standard. | (b) From 6 mm and above ± 0.1 mm | Class Description Minimum Bending strength in N/mm2 Minimum","For detailed information, refer to IS 2096:1991."
