is_number,year,title,revision,section,scope,key_requirements,reference
IS 13349 : 1992,1992,SINGLE FACED CAST IRON THIMBLE MOUNTED SLUICE GATES,,Sanitary Appliances and Water Fittings,"Covers single faced vertically sliding type 4. Nominal Sizes : See Tables 1 and 2. cast iron sluice gates of nominal sizes from 300 to 2500 mm, suitable for mounting on the flange of cast iron wall TABLE 1 NOMINAL SIZE OF SQUARE (OR thimble. These sluice gates are meant for use for water ROUND) SLUICE GATES, IN MM supply and waste water application. 300 750 1 200 1 800 These sluice gates are designed for either seating 400 900 1 400 2 000 head or unseating head or unseating head, or both. 500 1 000 1 500 2 250 600 1 100 1 600 2 500 Sluice gates as per this standard in addition to manual may be adapted to electric, hydraulic or pneumatic TABLE 2 NOMINAL SIZE OF RECTANGULAR power operation. Requirements for actuating gear except SLUICE GATES, IN MM in case of manual operation is left to the ","mm, suitable for mounting on the flange of cast iron wall TABLE 1 NOMINAL SIZE OF SQUARE (OR | thimble. These sluice gates are meant for use for water ROUND) SLUICE GATES, IN MM | power operation. Requirements for actuating gear except SLUICE GATES, IN MM | a) Class 1 : Suitable for maximum 750 × 600 1 200 × 1 800 2 000 ×1 500 | b) Class 2 : Suitable for maximum | c) Class 3 : Suitable for maximum (1) (2) (3) | unbalanced specified maximum operating hed shall be | common connection to the main, small orifice function | 3. Nominal Pressures – Maximum permissible gauge 7. End Connection–End connection of single air | working pressures of PN 1.0 and PN 1.6 MPa. valves (Small and large orifice) shall be either flanged or | mm 8. Materials | 25,40,50 mm TABLE 1 MATERIALS",
IS 14846 : 2000,2000,SLUICE VALVES FOR WATER WORKS PURPOSES,,Sanitary Appliances and Water Fittings,Requirements for non-rising stem type 5. Manufacture sluice valves from 50 to 1 200 mm sizes used for water 5.1 The portion of bonnet (gland and stuffin box) which supply up to 45º C and having double flanged ends for come in contact with spindle shall be provided connections. cohenever required with bushings of minimum 3 mm thickness and specified material.,"(50 TO 1200 mm SIZE) | sluice valves from 50 to 1 200 mm sizes used for water 5.1 The portion of bonnet (gland and stuffin box) which | connections. cohenever required with bushings of minimum 3 mm | 2. Nominal Pressures— (Maximum permissible gauge | MPa mm 5.3 Stems shall have machine cut single start the wedge | and 1 200 mm. The nominal size shall refer to the nominal | iv) Wedge nut, Leaded tin Body/Seat MPa (Gauge) | (mm) Body/Seat (Minutes) | (50 to 1200 mm) size.","For detailed information, refer to                  IS 14846: 2000."
IS 779 : 1994,1994,WATER METERS (DOMESTIC TYPE),,Sanitary Appliances and Water Fittings,"Covers terminology, construction, technical 5. Indicating Device : Indicating device shall be able characteristics, metrological characteristics and other to record 9999 kl (min) for meter size of 15, 20 and 25 mm requirements of water meters with threaded end and 99999 kl (min) for size 40 and 50 mm and shall connections of size up to and including 50 mm, having thereafter indicate zero. nominal flow rates in the range of 1.5 to 15 kl/h, suitable for measuring the flow of cold potable water at a nominal For digital indicators the visible displacement of all pressure of 1 MPa (Max) and ambient temperature. digits shall be upward in value.Indicators with pointer shall rotate in a clockwise direction. This standard is appliable both for semipositive (piston type) and inferential (turbine typ","characteristics, metrological characteristics and other to record 9999 kl (min) for meter size of 15, 20 and 25 mm | requirements of water meters with threaded end and 99999 kl (min) for size 40 and 50 mm and shall | connections of size up to and including 50 mm, having thereafter indicate zero. | pressure of 1 MPa (Max) and ambient temperature. digits shall be upward in value.Indicators with pointer | 2. Nominal Sizes – 5, 20, 25, 40 and 50 mm. b) accompained by a multiplying factor (×.001, | 3. Classes – A and B depending on maximum | 4. Materials - shall be not less than 1 mm and not more than 5 mm. | Registration box a) Bronze METER MAXIMUM VALUE OF VERIFICATION | b) For use above water i) Brass rod i) 1.6 Mpa for 15 minutes, and | (for gears only) ii) 2 Mpa for 1 minute | 7.2 Loss of Pressure – Shall not exceed 0.025 Mpa at 8.1 Metring accuracy – The maximum permissible error | the maximum flow rate, Qmax. in the metering accuracy, shall be as under :",
IS 2104 : 1981,1981,. WATER METER BOXES (DOMESTIC TYPE),First Revision,Sanitary Appliances and Water Fittings,"Requirements for materials, dimensions and 4.1 Construction – construction of boxes for water meters of nominal size conforming to IS 779 – 1994*. a) Cast iron boxes – Minimum thickness of box shall be 8 mm for Size 1 and 10 mm for Size2.","conforming to IS 779 – 1994*. a) Cast iron boxes – Minimum thickness of box | shall be 8 mm for Size 1 and 10 mm for Size2. | b) Mild steel boxes – Minimum thickness shall | 2.1. Shall be of two sizes and suitable for the water be 3 mm. | Size 1 – for 15, 20 and 25 mm water meters, Thickness of wall shall not be less than 40 | and mm. | Size 2 – for 40 and 50 mm water meters. | be 40 mm for Size 1and 75 mm for Size 2 with a | tolerance of +3 mm. | Minimum inside clear dimensions : Note : For typical illustration water meter boxes of different | mm mm mm 4.2. Fabrication and Fittings – Locking arrangement",
IS 2373 : 1981,1981,WATER METERS (BULK TYPE),Third Revision,Sanitary Appliances and Water Fittings,Covers bulk type water meters of the 4.4 Capacity Ratings for Intermediate flows following types : Nominal Capacity Ratings of watermeters a) Vane-wheel (impeller) type water meters from 50 to Size in Litres per hour 300 mm ; and b) Helical type water meters from 50 to 500 mm mm Vane-Wheel Type Helical Type,"b) Helical type water meters from 50 to 500 mm mm Vane-Wheel Type Helical Type | 250, 300, 350, 400 and 500 mm. 100 40 000 100 000 | Minimum Resistration Maximum 500 - 2 500 000 | tobe More Than Not to be Less than 4.5. Minimum Starting flow : | mm Vane-Wheel Type Helical Type | pressure of 1.6 MPa (16 kgf/cm2). | 4.6 Metering Accuracy : ± 2 percent. | mm Vane-Wheel Type Helical Type | up to 40 kg (first revision) 11.34","For detailed information, refer to IS 2373 : 1981."
IS 205 : 1992,1992,NON FERROUS METAL BUTT HINGES,Fourth Revision,Builder's Hardware,Requirements for butt hinges made from 4. Dimensions— Dimesnions of different types of non-ferrous metals. higes shall be normally as given in Tables 2 to 5 of the standard. For tolerances see table 6 of the standard.,"c) Cast brass butt hinges, and sizes less than 40 mm and in case of sheet brass hinges","For detailed information, refer to IS 205 :1992 Specification for non-ferrous metal but thinges (fifth revision)."
IS 206 : 1992,1992,TEE AND STRAP HINGES,Fourth Revision,Builder's Hardware,"Requirements for mild steel Tee and strap 4. Dimensions hinges that are commonly used in generall building construction. 4.1 Light Weight Tee Hinges — 75, 100, 125, 150, 200, 250, 300, 350, and 400 mm sizes.","hinges that are commonly used in generall building | 250, 300, 350, and 400 mm sizes. | 2.1 Tee hinges shall be of the following types— 200, 250, 300, 350, 400, 450 and 500 mm sizes. | 400, 450, 500 and 600 mm sizes. | 250, 300, 350 and 400 mm sizes. | 2.2 Strap hinges shall be of the following types — 200, 250, 300, 350, 450 and 500 mm | 350, 400, 450, 500 and 600 mm sizes.","For detailed information, refer to IS 206 : 1992 Specification for tee and strap hinges (fourth revision)."
IS 208 : 1996,1996,DOOR HANDLES,Fifth Revision,Builder's Hardware,"Requirements for materials, manufacture, dimensions and finish of door handles of the type that Dimensions Tolerance are commonly fixed to doors. mm mm",are commonly fixed to doors. | mm mm | Type 4 Brass or aluminium alloy. Type 2– Stove enammelled black. | Type 3– Stove enammelled black.,"For detailed information, refer to IS 208 : 1996 Specification for door handles (fifth revision)."
IS 281 : 1991,1991,MILD STEEL SLIDING DOOR BOLTS FOR USE WITH PADLOCKS,Third Revision,Builder's Hardware,"Requirements regarding materials, 5. Sizes dimensions, manufacture and finish of mild steel sliding door bolts commonly used in general building a) Plate type sliding bolts — 150, 200, 250, 300, constrcution for locking doors, gates, etc, with padlocks. 375 and 450 mm. b) Clip or bolt type sliding bolts – 200, 250, 300,","door bolts commonly used in general building a) Plate type sliding bolts — 150, 200, 250, 300, | constrcution for locking doors, gates, etc, with padlocks. 375 and 450 mm. | ii) Clip or bolt type. Sizes up to and including 300 mm ± 2 mm | 3. Sizes Sizes 375 mm and 450 mm ± 3 mm | 375 and 450 mm; and | 375 and 450 mm i) Sliding Bolts, Plate Type – Back plate straps",
IS 362 : 1991,1991,PARLIAMENT HINGES,Fifth Revision,Builder's Hardware,"Requirements regarding materials, 3.3 Mild Steel Parliament Hinges —50, 65, 75, 100, manufactre, finihs. ,marking and packing of parliament 125, 150, 175 and 200 mm. hinges. For tolerances see Table 4 of the standard","manufactre, finihs. ,marking and packing of parliament 125, 150, 175 and 200 mm. | brackets. For requirements of materials, see Table 1 of the is recommended in case of brass hinges. All screw holes | 100, 125, 150, 175, and 200 mm. | 125, 150, 175 and 200 mm. or electro-galvanized as specified by the purchaser.","For detailed information, refer to IS 362 : 1991 Specification for parliament hinges (fourth revision)."
IS 363 : 1993,1993,HASPS AND STAPLES,Fourth Revision,Builder's Hardware,"Requirements regarding materials, 3.3 Mild Steel Hasps and Staples manufacture, dimensions, manufacture and finish of hasps and staples. Type 2 — 65,75, 90, 100, 125,150 and 175 mm. For tolerances see Tables 2, 3 and 4 of the standard.","hasps and staples. Type 2 — 65,75, 90, 100, 125,150 and 175 mm. | Type 1— 90, 115, 150 and 175 mm. | Type 1 – 90, 115, 150 and 175 mm.","For detailed information,refer to IS 363 : 1993 Specification for hasps and staples (fourth revision)."
IS 364 : 1993,1993,FAN LIGHT CATCH,Third Revision,Builder's Hardware,"Requirements regarding material, 4.2 Tolerances dimensions, manufacture and finish of fan light catches commonly used on ventilators in buildings. Dimension Tolerance mm mm","commonly used on ventilators in buildings. Dimension Tolerance | mm mm | test. not less than 0.015 mm is recommended for normal use. | of 40 kg /mm 2 , minimum and shall satisfy the by the purchaser. For exterior use, where sunlight falls | be not less than 0.025 mm.","For detailed information,refer to IS 364 : 1993 Specification for fan light catch (third revision)."
IS 452 : 1973,1973,DOOR SPRING RAT- TAIL TYPE,Second Revision,Builder's Hardware,"Requirements for materials, dimensions, 5. Performance Tests manufacture, finish and tests for door springs, rat-tail type commonly used in building constrcution. a) The tail rod when pushed through to the maximum possible limit and released 100 times","type commonly used in building constrcution. a) The tail rod when pushed through to the | maximum possible limit and released 100 times | b) Brass door springs. through 900 shall not exceed 4 kgf/m. | 3. Sizes – 300 and 375 mm 6. Finish – Mild steel door springs, casing, tail od, | a) Tail road – 10 mm dia. and the spring if made of mild steel wire shall be copper | b) Roller plate – 16 mm thick. | c) Base plate – 2.5 mm thick (size 80 × 40 mmcentre | d) Roller– 2 mm dia and 3 mm thick.","For detailed information, refer to IS 452 : 1973 Specification for door spring rat- tail type ( second revision)."
IS 453 : 1993,1993,DOUBLE-ACTING SPRING HINGES,Third Revision,Builder's Hardware,"Requirements for material, dimensions 4. Dimensions— See Fig 1 and 2 of the standard. manufacture, finish and tests of double-acting spring hinges and corresponding blank hinges used generally 5. Performance Test for swing doors. a) Door when pushed through 900 and released","b) Door shall require force of 2.0 ± 0.5 kg for 100 | 3. Sizes mm hinge and 3.0 ± 0.5 kg. For 125 mm and | 150 mm hinges, at a distance of 45 cm from | mm mm 6. Finish–","For detailed information, refer to IS 453 : 1993 Specification for double-acting spring hinges (third revision)."
IS 1019 : 1974,1974,RIM LATCHES,Second Revision,Builder's Hardware,"Requirements regarding material, Size Length × Breadth × Depth dimensions, manufacture and finish of rim latches for general use. 75 75 × 60 × 14","Tolerance + 1 mm | 4. Sizes – 75, 100, 125 and 150 mm denoted by overall copper oxidoized. | 6. Dimensions (in mm)",
IS 1341 : 1992,1992,STEEL BUTT HINGES,,Builder's Hardware,"Requirements regarding material, 4. Dimensions and Tolerances dimensions, manufacture and finish of mild steel butt hinges. 4.1 Light Weight Mild Steel Butt Hinges— 15, 25,40, 50, 65, 75 and 100 mm sizes.","50, 65, 75 and 100 mm sizes. | a) Light weight hinges 40, 50, 65, 75, 90, 100, 125 and 150 mmsizes. | 125 and 150 mm sizes. | 90 and 100 mm sizes. | 3. Materials 90, 100, 125, 150, 175 and 200 mm sizes.","For detailed information, refer to IS 1341 : 1992 Specification for steel butt hinges (sixth revision)."
IS 1823 : 1980,1980,FLOOR DOOR STOPPERS,Third Revision,Builder's Hardware,"Requirements for floor door stopper 4.1 Tolerances suitable for use with door shutters of 30, 35, 40, and 45 mm thickness. a) On overall length of cover plate ± 0.5 mm",mm thickness. a) On overall length of cover plate ± 0.5 mm | 2. Materials b) On thickness of cover plate + 0.3 mm | 4. Dimensions (in mm) | Pivot length and breadth ± 0.5 mm | 2. Types Pin Projection ± 0.2 mm | Type 1 – Mild steel pivots Pin dia ± 0.2 mm | 3. Dimensions (in mm),"For detailed information, refer to IS 1823 : 1980 Specification for floor door stoppers (third revision)."
IS 2209 : 1976,1976,MORTICE LOCKS (VERTICAL TYPE),Third Revision,Builder's Hardware,"Requirements for mortice locks (vertical 5. Manufacture type) a) Body—Clear depth 15 mm, Max.","a) Body—Clear depth 15 mm, Max. | 2. Sizes – 65, 75 and 100 mm. Size shall be denoted | b) Locking bolt— Section not less than 8 × 25 | shall not vary by more than 3 mm from the length c) Lever spring — Lever spring fitted into the | batch consisting of a minimum of 24 locks. In case of d) Face plate and striking plate— Finished | interchangeable keys in a batch of minimum 100 locks. be chromium plated anodized or oxidized).","For detailed information, refer to IS 2209 : 1976 Specification for mortice locks (vertical type) (third revision)."
IS 2681 : 1993,1993,NON-FERROUS METAL SLIDING DOOR BOLTS (ALDROPS) FOR USE WITH PADLOCKS,Third Revision,Builder's Hardware,"Requirement for non-ferrous metal sliding 3. Materials – Shall comply with the requirements door bolts (aldrops) commonly used in general building given in Table 1 of the standard. construction for locking doors, gates etc. with padlocks. 4. Dimensions","door bolts (aldrops) commonly used in general building given in Table 1 of the standard. | Type Size, mm | SUMMARY OF | than 80 kg. This does not cover the requirements for | maximum load specified, the closer shall show no | No. Closer Door(kg) Door (mm)",
IS 3818 : 1992,1992,CONTINUOUS (PIANO) HINGES,Third Revision,Builder's Hardware,Requirements for continuous (piano) 4. Requirements hinges. a) Knuckles shall be straight and at right angle,b) Aluminium alloy sheet hinge pin shall be hard anodized to a minimum | c) Cold rolled low carbon steel thickness of 0.025 mm and sealed with oil,"For detailed information, refer to IS 3818 : 1992 Specification for continuous (piano) hinges ( third revision)."
IS 3828 : 1966,1966,VENTILATOR CHAINS,Third Revision,Builder's Hardware,Requirements for ventilator chains. a) Eye — Formd by forging and folding plate of 2.5 minimum thickness.,plate of 2.5 minimum thickness. | 2. Material Width 25 mm. | b) Chain — Made from 1.8 mm minimum dia | wire. Length 300 ± 5 mm. Each | Aluminium alloy link 30 ± 2 mm. | b) Eye Mild steel c) Staple — Made of 2.5 mm minimum thick | Aluminium alloy plate size 40 × 20 mm. Hook 5 mm | dia and 5 mm internal radius of | bear 20 kg load without deformation.,"For detailed information, refer to IS 3828 : 1966 Specification for ventilator chains (third revision)."
IS 3843 : 1995,1995,STEEL BACK FLAP HINGES,Second Revision,Builder's Hardware,"Covers types and the requirements 4. Sizes regarding materials, dimensions, manufacture and finish 4.1 Light Weight Hinges — 20, 25, 30, 35, 40, 45, 50, 60, of steel back flap hinges. 65 and 75 mm","4.2 Heavy Weight Hinges — 25, 40, 50, 65 and 75 mm","For detailed information, refer to IS 3843 : 1995 Specification for steel back flap hinges ( second revision)."
IS 3847 : 1992,1992,MORTICE NIGHT LATCHES,First Revision,Builder's Hardware,"Requirements for mortice night latches for Case plate, face plate ii) Aluminium alloy general use. sheet and striking plate",on ‘Left hand door’ and ‘Right Hand’ if fitted in ‘Right less than 60 percent | a batch of minimum 12 and 60 latches respectively. Note—For materials for the other components see 6 and Table,"For detailed information, refer to IS 3847 : 1992 Specification for mortice night latches (first revision)."
IS 4621 : 1975,1975,INDICATING BOLT FOR USE IN PUBLIC BATHS AND LAVATORIES,First Revision,Builder's Hardware,"Requirements for indicating bolts for use c) Gears Alumminium alloy casting, in public baths and lavatories. Brass casting","1. Scope – Requirements for indicating bolts for use c) Gears Alumminium alloy casting, | it shall show the word “ENGAGED” on red background, | (mm) (mm) (mm) | “VACANT” on green background. Length of bolt 75 85 ±1",
IS 4948 : 2002,2002,WELDED STEEL WIRE FABRIC FOR GENERAL USE,Second Revision,Builder's Hardware,"Requirements for welded wire fabric for 3. Mesh Sizes Commonly available (in mm) — Refer general use, such as fencing, window grill and crates. to Annex A of the standard. Not intended to cover fabric for concrete reinforcement. 4. Tolerance","1. Scope – Requirements for welded wire fabric for 3. Mesh Sizes Commonly available (in mm) — Refer | 4.1 In any individual mesh, the maximum variation | fabric shall coaform to IS 280. to centre shall not vary more than 5 percent. | welded fabric shall conform to grade X 04 Cr 17 Ni 12 wire may vary by 25 mm or one percent whichever is | 2.3 Tolerance on Diameter 5. Test for Welding – The minimum average strength | value of the weld shall not be less than 21 kgf/mm2 and | For size of wire 1.6 to 5.6 mm ± 0.050 the area of the wire to be taken into consideration for | For size of wire over 5.6 mm ± 0.060 | wire greater than 2 mm shall not be subjected to weld",
IS 4992 : 1975,1975,DOOR HANDLES FOR MORTICE LOCKS (VERTICAL TYPE),First Revision,Builder's Hardware,"Requirements for door handles for operation 5. Performance Requirements – A sample picked out of mortice locks (vertical type) covered in at random from a lot of 100, when fitted to a lock and IS 2209 : 1976.* operated 1 000 times shall not show any damage or ineffectiveness in working. When the handle is in its","a load of 100 kgf, it shall not develop cracks, lose shape | Door handle knob housing = (150 ±5) × (40 ± 2 )mm | Length of handle = 90 ± 2 mm.",
IS 5187 : 1972,1972,FLUSH BOLTS,First Revision,Builder's Hardware,Requirements for flush bolts for use in Type Size FacePlate Throw of Bolt Bolt Dia cupboards and doors Length Min. (mm) (mm) (mm) (mm),"(mm) (mm) (mm) (mm) | maximum bolting position by the spring. Note— For detailed dimensions and tolerances, See 5 of the | (mm) (mm) (mm) (mm) copper oxidized. Aluminium flush bolts shall be anodized.","For detailed information, refer to IS 5187 : 1972 Specification for flush bolt (first revision)."
IS 5899 : 1970,1970,BATH ROOM LATCHES,,Builder's Hardware,"Requirements for material, size and finish a) Body – Cast brass, cast iron, aluminium of bathroom latches. alloy, and aluminium extrusions. b) Bolts – Brass cast, brass extruded, mild",Overall size — 40 × 50 mm | Thickness – 10 mm alloy and aluminium extrusions.,"For detailed information, refer to IS 5899 : 1970 Specification for bathroom latches."
IS 5930 : 1970,1970,MORTICE LATCH (VERTICAL TYPE),,Builder's Hardware,"Requirements for mortice latches for use from both sides of the door. on doors, such as bath room doors, W.C. doors and Bolt shall turn into locking doors to private rooms. position when the thumb turn knob is turned through","2. Sizes – 65, 75 and 100 mm. Size shall be denoted by 900. | shall not vary by more than 3 mm from the length | 15 kgf before failure of joint | exceed 15 mm. anodized. Face plate and striking plate shall be finished | b) Locking Bolt – Section not less than 18 × smooth and polished bright or satin, or chromium plated, | 25 mm. anodized or oxidized.","For detailed information, refer to IS : 5930-1970 Specification for mortice latch (vertical type)."
IS 6315 : 1992,1992,FLOOR SPRINGS (HYDRAULICALLY REGULATED) FOR HEAVY DOORS,Second Revision,Builder's Hardware,"Requuirements for concealed type floor 4.4 Force not more than 20 N shall be required at a springs (hydraulically regulated) for vertical doors distance of one meter from the frame, to open the door weighing not more than 125 kg. In case of doors leaf weighing 125 Kg through 90 degrees. consisting of more than one leaf the weight of each leaf shall not exceed 125 kg. 5. Finish",1. Scope – Requuirements for concealed type floor 4.4 Force not more than 20 N shall be required at a | weighing not more than 125 kg. In case of doors leaf weighing 125 Kg through 90 degrees. | shall not exceed 125 kg. 5. Finish | 50 000 operations at a rate of not more than 6 to 8,
IS 6318 : 1971,1971,PLASTIC WINDOW STAYS AND FASTENERS,,Builder's Hardware,Lays down performance and functional 3. Size and Shape requirements of window stays made of polypropylene Length of window stay = 300 mm and fasteners (handles) made of nylon. Length of window fastener = 110 mm,"Length of window stay = 300 mm | Length of window fastener = 110 mm | b) Tensile strength at yield, Min 315 kgf/cm2 | c) Impact strength, Min 3.7 kgf/cm (of notch) 300, 600 and 900 with the frame. Tolerance in position of | d) Water absorption, 3.7 Max 0.04 percent restraint: ±50 . | f) Weather resistance — Shall retain at least 50 a force of 40 kgf (applied in increments of 5 kgf at one | percent of original elongation minute intervals) | g) Deformation underload, Max 6.0 percent, 500C","For detailed information, refer to IS          6318 : 1971 Specification for plastic window stay and fasteners."
IS 6343 : 1982,1982,DOOR CLOSERS (PNEUMATICALLY REGULATED),First Revision,Builder's Hardware,"Requirements for door closers 4.5 The closer shall not show any sign of leakage in (pneumatically regulated) for use on light doors the air pressure. weighing up to 40 kg. 4.6 Each closer shall be furnished with clear, detailed","FOR LIGHT DOORS WEIGHING UPTO 40 KG | weighing up to 40 kg. | alloy/ steel/zinc alloy. maximum permissible weight shall be subjected to 50,000 | 3. Dimensions and Tolerances — Shall be as agreed operations at the rate of a maximum of 6 to 8 operations | light doors weighting up to 40 kg (first revision).",
IS 6607 : 1972,1972,REBATED MORTICE LOCKS (VERTICAL TYPE),,Builder's Hardware,Requirements for rebated mortice locks 12 × 16 mm for all sizes of locks. suitable for use on double leaf doors with rebated c) Mechanism — Locking mechanism shall be meeting stiles. lever type with not less than two levers.,"1. Scope – Requirements for rebated mortice locks 12 × 16 mm for all sizes of locks. | lever type with not less than two levers. | 2. Sizes – 65, 75 and 100 mm. | over the body in mm. The measured length shall not e) Keys — Two for each lock usable from inside | vary more than ± 3 mm from the length specified for size. and outside. | see Fig. 1 of the standard. f) Latch Bolt — Section not less than | 3. Non-interchangeability – Two-lever locks shall 12 × 16 mm. | have non-interchangeable keys in a batch of minimum | non-interchangeable keys in a batch of a minimum of | a) Body – Depth of body shall not exceed | 15 mm. 6. Tests — Shall withstand the tests specified in 9 of","For detailed information, refer to IS 6607 : 1972 Specification for rebated mortice locks (vertical type)."
IS 7196 : 1974,1974,HOLD FAST,,Builder's Hardware,"Requirements for mild steel hold fasts for 3. Manufacture — Shall be made from mild steel flats use with wooden doors and window frames. not less than 5 mm thick, and without any burrs or dents.","use with wooden doors and window frames. not less than 5 mm thick, and without any burrs or dents.","For detailed information, refer to IS 7196 : 1974 Specification for hold fast."
IS 7197 : 1974,1974,DOUBLE ACTION FLOOR SPRINGS (WITHOUT OIL CHECK) FOR HEAVY DOORS,,Builder's Hardware,"Requirements for concealed type floor 5. Construction – Floor spring shall be covered by springs (without oil check) for vertical doors weighing brass or aluminium sheet which only shall be flush with not more than 125 kg. For doors having more than one the floor. Provision shall be made in floor springs for leaf, the weight of each leaf shall not exceed 125 kg. adjusting door leaf to final closed position by turning the adjusting screw.","not more than 125 kg. For doors having more than one the floor. Provision shall be made in floor springs for | leaf, the weight of each leaf shall not exceed 125 kg. adjusting door leaf to final closed position by turning | to a door leaf weighing 125 kg shall be subjected to | 1800) at the rate of not more than 6 to 8 operations per | Brass sheet 1.25 mm, minimum thick; Mild | steel sheet 1.25 mm, minimum thick; Cast iron; | aluminium alloy pressure die-castings 2 mm, A force of not more than 2 kgf shall be required at a | minimum thick; aluminium alloy sheet 1.25 mm, distance of one metre from the door frame, to open the | minimum thick or zinc base alloy pressure door leaf weighing 125 kg through 900. | die-castings 2 mm, minimum thick.",
IS 7534 : 1985,1985,SLIDING LOCKING BOLTS FOR USE WITH PADLOCKS,First Revision,Builder's Hardware,"Requirements regarding materials, 5. Dimensions and Tolerances dimensions, manufacture and finish of sliding locking bolts commonly used for locking doors, gates, etc. with Type Size Length of Length of Bolt Dia. of padlocks. Bolt Bolt Plate Bolt","bolts commonly used for locking doors, gates, etc. with Type Size Length of Length of Bolt Dia. of | 110, 150, 200, 250 and 300 mm II 110 65 ± 1 110 ± 2 10 ± 0.",
IS 7540 : 1974,1974,MORTICE DEAD LOCKS,,Builder's Hardware,"Requirements for mortice dead locks. 5. Manufacture Note – Mortice dead locks have a single bolt which is shot a) Body Depth of body shall not and withdrawn by means of key (from either side) providing exceed 15 mm reasonable degree of security. Being lock for occasional rather b) Locking Bolt Section shall not be less than frequent use it is well suited for use alone, or as an additional lock for the doors of store rooms, cellers, warehouses, etc. than 10 × 30 mm.","and withdrawn by means of key (from either side) providing exceed 15 mm | lock for the doors of store rooms, cellers, warehouses, etc. than 10 × 30 mm. | 2. Sizes – 45, 65 and 75 mm. Size is denoted by overall c) Levers Not less than two. | mm from the specified size showing any sign of | have non-interchangeable keys in a batch of a minimum | non-interchangeable keys in a match of a minimum of",
IS 8760 : 1978,1978,MORTICE SLIDING DOOR LOCKS WITH LEVER MECHANISM,,Builder's Hardware,Requirements for mortice sliding door locks Locks with more than two levers shall have non having lever mechanism. interchangeable keys in a batch consisting of a minimum of 100 locks.,"having lever mechanism. interchangeable keys in a batch consisting of a minimum | 2. Sizes – 30 mm, 50 mm, 70 mm and 100 mm. Size shall | end. Measured length shall not vary by more than 3 mm | a minimum of 24 locks. the standard.","For detailed information, refer to IS : 8760 1978."
IS 9106 : 1979,1979,RISING BUTT HINGES,,Builder's Hardware,"Requirements regarding materials, 4. Sizes – dimensions, manufacture and finish of rising butt hinges. Steel rising butt hinges – 75 and 100 mm",Steel rising butt hinges – 75 and 100 mm | Cast iron rising butt hinges – 75 and 100 mm,"For detailed information, refer to : IS 9106 :1979 Specification for rising butt hinges."
IS 9131 : 1979,1979,RIM LOCKS,,Builder's Hardware,"Requirements for materials, construction, 6. Construction dimensions and finish of rim locks of two types commonly fixed to single and double-leaf doors in a) Body – Overall depth of the body shall be buildings. not more than 15 mm. b) Locking bolt — Section not less than 8×22","commonly fixed to single and double-leaf doors in a) Body – Overall depth of the body shall be | buildings. not more than 15 mm. | b) Locking bolt — Section not less than 8×22 | 2. Types mm | 3. Size – 100 and 150 mm d) Latch Bolt — Section not less than 8×14 mm | length shall not vary by more than 3 mm, from the length locks shall be japanned, stove eamelled black or copper | batch consisting of a minimum of 24 locks.","For detailed information, refer to IS 9131 : 1979 Specification for rim locks."
IS 10019 : 1981,1981,MILD STEEL STAYS AND FASTENERS,,Builder's Hardware,"Requirements regarding materials, Note— For details of materials see 3 and Table 1 of the dimensions, manufacture and finish of stays and standard. fasteners made of mild steel of the types that are 4. Shape and Dimension – Shall be as given in Fig 1 commonly used in windows. and 2 of the standard.",commonly used in windows. and 2 of the standard. | b) Type 2 – Mild steel stays and fasterners made frame. Tolerances in such positions shall not exceed +,"For detailed information, refer to IS 10019 : 1981 Specification for mild steel stays and fasteners."
IS 10090 : 1982,1982,NUMERICALS,,Builder's Hardware,"Requirements regarding materials, 4. Manufacture dimensions, manufacture and finish of numericals. a) Shall be manufactured in one piece and shall be","3. Sizes — 25, 50, 75, 100, 150 and 300 mm. The discoloration. Aluminium numericals shall be anodized. | thickness of the numericals shall not be less than 2 mm,","For detailed information, refer to IS 10090 : 1982 Specification for numericals."
IS 10342 : 1982,1982,CURTAIN RAIL SYSTEM,,Builder's Hardware,"Requirements regarding materials, 3. Shape and Dimensions manufacture, dimensions, testing and finish of rails, runners and hooks used in the curtain rail system. 3.1 The curtain ring shall be either ‘I’ or ‘C’ section","auditoriums, etc. mm length with a tolerance of ± 3 mm. | 2. Types and Materials 3.3 Dimensions for ‘I’ rails : 1 800, 1 200 and 2 400 mm | Type 1 – Cast, (brass, aluminium) length with a tolerance of ± 3 mm.","For detailed information, refer to IS 10342 : 1982 Specification for curtain rail system."
IS 12817 : 1997,1997,STAINLESS STEEL BUTT HINGES,First Revision,Builder's Hardware,"Types and requirements regarding 3.3 Heavy Weight Hinges — 75, 100, 125 and 150 mm materials, dimensions, manufacture and finish of stainless steel butt hinges. 3.4 Uneaual Flat Hinges","1. Scope – Types and requirements regarding 3.3 Heavy Weight Hinges — 75, 100, 125 and 150 mm | 2. Types 60 × 10 × 16 mm | 60 × 12 × 19 mm | 75 × 10 × 16 mm | 75 × 12 × 19 mm | 3.1 Light Weight (Narrow) Hinges — 60 and 75 mm 4. Materials — Shall conform to the prescribed grades",
